Table 1,Unnamed: 1,Unnamed: 2
Continent,Region,countries
Africa,Middle Eastern,Egypt
Africa,Northern Africa,Libya
Africa,Northern Africa,Morocco
Africa,Rest Africa,Angola
Africa,Rest Africa,Ethiopia
Africa,Rest Africa,Namibia
Africa,Rest Africa,Nigeria
Africa,Rest Africa,Somalia
Africa,Rest Africa,Sudan
Asia,Chinese and Mongolian,China
Asia,Chinese and Mongolian,Mongolia
Asia,Indian Subcontinent,Bangladesh
Asia,Indian Subcontinent,India
Asia,Indian Subcontinent,Nepal
Asia,Indian Subcontinent,Pakistan
Asia,Japanese,Japan
Asia,Korean,South Korea (or simply Korea)
Asia,Middle Eastern,Iraq
Asia,Middle Eastern,Israel
Asia,Middle Eastern,Laos
Asia,Middle Eastern,Lebanon
Asia,Middle Eastern,Palestine
Asia,Middle Eastern,Middle Eastern Countries (Rest Middle Eastern)
Asia,Middle Eastern,Saudi Arabia
Asia,Middle Eastern,Turkey
Asia,Southeast Asian,Cambodia
Asia,Southeast Asian,Philippines
Asia,Southeast Asian,Indonesia
Asia,Southeast Asian,Malaysia
Asia,Southeast Asian,Vietnam
Asia,Thai,Thailand
Asia,Australian,Australia
Australasia,Australian,New Zealand
Australasia,Belgian,Belgium
Europe,Belgian,Netherlands
Europe,Deutschland,Austria
Europe,Deutschland,Germany
Europe,Deutschland,Switzerland
Europe,Eastern European,Czech Republic
Europe,Eastern European,Hungary
Europe,Eastern European,Poland
Europe,Eastern European,Eastern European Countries (Rest Eastern European)
Europe,Eastern European,Russia
Europe,French,France
Europe,Greek,Greece
Europe,Irish,Ireland
Europe,Italian,Italy
Europe,Scandinavian,Denmark
Europe,Scandinavian,Finland
Europe,Scandinavian,Iceland
Europe,Scandinavian,Norway
Europe,Scandinavian,Sweden
Europe,Spanish and Portuguese,Portugal
Europe,Spanish and Portuguese,Spain
Europe,UK,England
Europe,UK,Scotland
Europe,UK,United Kingdom
Europe,UK,Wales
Europe,Caribbean,Cuba
Latin America,Caribbean,Jamaica
Latin America,Caribbean,Puerto Rico
Latin America,Caribbean,Caribbean Countries (Rest Caribbean)
Latin America,Central American,Costa Rica
Latin America,Central American,Guatemala
Latin America,Central American,Honduras
Latin America,Mexican,Mexico
Latin America,South American,Argentina
Latin America,South American,Brazil
Latin America,South American,Chile
Latin America,South American,Colombia
Latin America,South American,Ecuador
Latin America,South American,Peru
Latin America,South American,Venezuela
Latin America,Canadian,Canada
North America,US,United States
